Molecular Weight,Polar Surface Area,measured log solubility in mols per litre,solubility labels,smiles
103.124,23.79,-1.0,1,N#Cc1ccccc1
116.204,20.23,-1.81,1,CCCCCCCO
116.204,20.23,-1.55,1,CCCCCC(C)O
108.14,20.23,-0.62,1,Cc1ccccc1O
116.16,26.3,-0.82,1,CCCOC(=O)CC
109.128,46.25,-0.8,1,Nc1ccc(O)cc1
130.187,26.3,-1.92,1,CC(C)CCOC(=O)C
146.153,51.56,-0.466,1,Cc1ncnc2nccnc12
102.177,9.23,-1.34,1,CCCOC(C)C
120.151,12.53,-1.6,1,C1OC1c2ccccc2 
107.156,12.89,0.36,1,Cc1ccncc1C
160.169,52.6,-0.82,1,CCOC(=O)CC(=O)OCC
107.156,12.89,0.45,1,Cc1cccc(C)n1
143.189,26.02,-1.92,1,Nc1cccc2ccccc12
110.112,40.46,0.81,1,Oc1cccc(O)c1
102.177,20.23,-1.24,1,CCCCCCO
102.133,26.3,-0.72,1,CCCOC(=O)C
100.161,17.07,-1.3,1,CCCCCC=O
109.128,46.25,-0.72,1,Nc1ccccc1O
102.177,9.23,-1.1,1,CC(C)OC(C)C
107.156,12.89,0.38,1,Cc1cccnc1C
100.161,20.23,-0.44,1,OC1CCCCC1
152.222,38.05,-1.77,1,NC(=S)Nc1ccccc1
114.188,17.07,-1.3,1,CCCC(=O)CCC
100.161,17.07,-0.72,1,CC(=O)C(C)(C)C
128.558,20.23,-0.7,1,Oc1ccc(Cl)cc1
98.145,17.07,-0.6,1,O=C1CCCCC1
107.156,26.02,-0.85,1,Cc1cccc(N)c1
110.112,40.46,0.62,1,Oc1ccccc1O
116.204,20.23,-1.22,1,CC(C)C(O)C(C)C
121.183,12.03,-1.7,1,CCNc1ccccc1
100.161,17.07,-0.74,1,CC(C)CC(=O)C
128.215,20.23,-1.29,1,OC1CCCCCCC1
102.177,20.23,-1.04,1,CCC(C)(C)CO
130.187,26.3,-1.75,1,CCCOC(=O)CCC
127.574,26.02,-1.37,1,Nc1cccc(Cl)c1
108.14,20.23,-0.68,1,Cc1cccc(O)c1
164.208,32.34,-1.6,1,CN(C)C(=O)Nc1ccccc1
130.187,26.3,-1.87,1,CCCCCC(=O)OC
153.156,29.1,-1.78,1,CC(=O)Nc1ccc(F)cc1
123.111,43.14,-1.8,1,O=N(=O)c1ccccc1
102.133,26.3,-1.92,1,CCCC(=O)OC
107.156,26.02,-1.21,1,Cc1ccc(N)cc1
100.146,38.91,-0.36,1,Nc1nccs1 
151.165,38.33,-1.803,1,c1ccccc1(OC(=O)NC)
102.177,20.23,-0.8,1,CCCC(O)CC
100.161,17.07,-0.83,1,CCCC(=O)CC
150.181,55.12,-0.95,1,NC(=O)NCc1ccccc1 
114.188,20.23,-0.88,1,OC1CCCCCC1
133.197,29.1,-1.77,1,C1SC(=S)NC1(=O)
102.177,20.23,-0.36,1,CCC(C)(O)CC
102.177,20.23,-0.89,1,CCCCC(C)O
119.123,26.03,-1.16,1,c2ccc1ocnc1c2
119.127,41.57,-0.78,1,c2ccc1[nH]nnc1c2
122.167,20.23,-1.29,1,Cc1cccc(C)c1O
108.14,20.23,-0.4,1,OCc1ccccc1
130.231,20.23,-1.6,1,CCCCC(C)(O)CC
96.085,30.21,-0.1,1,O=Cc1ccco1
150.133,35.53,-1.63,1,O=Cc2ccc1OCOc1c2 
106.124,17.07,-1.19,1,O=Cc1ccccc1
152.149,46.53,-1.827,1,COC(=O)c1ccc(O)cc1
122.167,20.23,-1.19,1,Cc1ccc(O)c(C)c1
203.245,52.95,-0.624,1,Cc2c(N)c(=O)n(c1ccccc1)n2C
102.177,20.23,-0.71,1,CCC(C)CCO
146.153,51.56,-0.12,1,Cc2ncc1nccnc1n2
194.186,52.6,-1.66,1,COC(=O)c1ccccc1C(=O)OC
118.176,18.46,-0.77,1,CCOCCOCC
127.574,26.02,-1.52,1,Nc1ccccc1Cl
102.133,26.3,-1.37,1,CCCCOC=O
122.123,37.3,-0.96,1,Oc1ccc(C=O)cc1
102.177,20.23,-0.62,1,CC(O)C(C)(C)C
116.16,26.3,-1.36,1,CCCC(=O)OCC
107.156,12.89,0.38,1,Cc1ccnc(C)c1
132.232,24.06,-1.46,1,CCNC(=S)NCC
116.16,26.3,-1.34,1,CCCCC(=O)OC
144.214,26.3,-1.28,1,CCCCCOC(=O)CC
118.176,18.46,-0.43,1,CCOC(C)OCC
118.176,29.46,-0.42,1,CCCCOCCO
153.137,52.37,-1.96,1,COc1ccccc1N(=O)=O
124.139,29.46,-1.96,1,COc1ccccc1O 
146.153,51.56,-0.854,1,Cc2cnc1cncnc1n2
102.177,20.23,-0.5,1,CC(C)(C)CCO
