Molecular Weight,Polar Surface Area,measured log solubility in mols per litre,solubility labels,smiles
103.124,23.79,-1.0,1,N#Cc1ccccc1
116.204,20.23,-1.81,1,CCCCCCCO
116.204,20.23,-1.55,1,CCCCCC(C)O
108.14,20.23,-0.62,1,Cc1ccccc1O
116.16,26.3,-0.82,1,CCCOC(=O)CC
109.128,46.25,-0.8,1,Nc1ccc(O)cc1
130.187,26.3,-1.92,1,CC(C)CCOC(=O)C
146.153,51.56,-0.466,1,Cc1ncnc2nccnc12
102.177,9.23,-1.34,1,CCCOC(C)C
120.151,12.53,-1.6,1,C1OC1c2ccccc2 
107.156,12.89,0.36,1,Cc1ccncc1C
160.169,52.6,-0.82,1,CCOC(=O)CC(=O)OCC
107.156,12.89,0.45,1,Cc1cccc(C)n1
143.189,26.02,-1.92,1,Nc1cccc2ccccc12
110.112,40.46,0.81,1,Oc1cccc(O)c1
102.177,20.23,-1.24,1,CCCCCCO
102.133,26.3,-0.72,1,CCCOC(=O)C
100.161,17.07,-1.3,1,CCCCCC=O
109.128,46.25,-0.72,1,Nc1ccccc1O
102.177,9.23,-1.1,1,CC(C)OC(C)C
201.225,42.24,-3.3,-1,Cc1occc1C(=O)Nc2ccccc2
152.237,17.07,-2.06,-1,CC(C)=CCCC(C)=CC(=O)
218.256,58.2,-2.64,-1,CCC1(C(=O)NCNC1=O)c2ccccc2
172.312,20.23,-2.94,-1,CCCCCCCCCC(C)O
234.299,54.86,-4.594,-1,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3
179.219,38.33,-2.35,-1,CCOc1ccc(NC(=O)C)cc1
158.241,26.3,-3.17,-1,CCCCCCCC(=O)OC
169.227,12.03,-3.504,-1,N(c1ccccc1)c2ccccc2
156.269,20.23,-2.53,-1,CC(C)C1CCC(C)CC1O 
214.062,29.1,-3.083,-1,CC(=O)Nc1ccc(Br)cc1
229.715,53.94,-4.06,-1,CCNc1nc(Cl)nc(n1)N(CC)CC
154.253,17.07,-2.35,-1,CC(C)C1CCC(C)CC1=O
192.001,43.14,-3.48,-1,O=N(=O)c1c(Cl)c(Cl)ccc1
193.249,26.02,-5.17,-1,Nc3ccc2cc1ccccc1cc2c3 
209.293,49.25,-2.24,-1,CCCCc1c(C)nc(nc1O)N(C)C 
225.313,38.33,-2.09,-1,CCSCc1ccccc1OC(=O)NC 
150.221,20.23,-2.41,-1,CC(C)(C)c1ccc(O)cc1
154.253,20.23,-2.46,-1,CC(C)=CCC/C(C)=C\CO
142.242,17.07,-2.58,-1,CCCCC(=O)CCCC
217.268,46.17,-2.337,-1,CCC1(CCC(=O)NC1=O)c2ccccc2 
413.0,27.69,-6.62,-1,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl
414.63,38.69,-7.32,-1,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21
490.639,17.07,-5.259,-1,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl
418.736,26.3,-7.321,-1,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F
